Combined_Key,Population
"Colusa, California, US",21547
"Contra Costa, California, US",1153526
"Del Norte, California, US",27812
"El Dorado, California, US",192843
"Fresno, California, US",999101
"Glenn, California, US",28393
"Humboldt, California, US",135558
"Imperial, California, US",181215
"Inyo, California, US",18039
"Kern, California, US",900202
"Kings, California, US",152940
"Lake, California, US",64386
"Lassen, California, US",30573
"Los Angeles, California, US",10039107
"Madera, California, US",157327
"Marin, California, US",258826
"Mariposa, California, US",17203
"Mendocino, California, US",86749
"Merced, California, US",277680
"Modoc, California, US",8841
"Mono, California, US",14444
"Monterey, California, US",434061
"Napa, California, US",137744
"Nevada, California, US",99755
"Orange, California, US",3175692
"Placer, California, US",398329
"Plumas, California, US",18807
"Riverside, California, US",2470546
"Sacramento, California, US",1552058
"San Benito, California, US",62808
"San Bernardino, California, US",2180085
"San Diego, California, US",3338330
"San Francisco, California, US",881549
"San Joaquin, California, US",762148
"San Luis Obispo, California, US",283111
"San Mateo, California, US",766573
"Santa Barbara, California, US",446499
"Santa Clara, California, US",1927852
"Santa Cruz, California, US",273213
"Shasta, California, US",180080
"Sierra, California, US",3005
"Siskiyou, California, US",43539
"Solano, California, US",447643
"Sonoma, California, US",494336
"Stanislaus, California, US",550660
"Sutter, California, US",96971
"Tehama, California, US",65084
"Trinity, California, US",12285
"Tulare, California, US",466195
"Tuolumne, California, US",54478
"Ventura, California, US",846006
"Yolo, California, US",220500
"Yuba, California, US",78668
"Adams, Colorado, US",517421
"Alamosa, Colorado, US",16233
"Arapahoe, Colorado, US",656590
"Archuleta, Colorado, US",14029
"Baca, Colorado, US",3581
"Bent, Colorado, US",5577
"Boulder, Colorado, US",326196
"Broomfield, Colorado, US",70465
"Chaffee, Colorado, US",20356
"Cheyenne, Colorado, US",1831
"Clear Creek, Colorado, US",9700
"Conejos, Colorado, US",8205
"Costilla, Colorado, US",3887
"Crowley, Colorado, US",6061
"Custer, Colorado, US",5068
"Delta, Colorado, US",31162
"Denver, Colorado, US",727211
"Dolores, Colorado, US",2055
"Douglas, Colorado, US",351154
"Eagle, Colorado, US",55127
"Elbert, Colorado, US",26729
"El Paso, Colorado, US",720403
"Fremont, Colorado, US",47839
"Garfield, Colorado, US",60061
"Gilpin, Colorado, US",6243
"Grand, Colorado, US",15734
"Gunnison, Colorado, US",17462
"Hinsdale, Colorado, US",820
"Huerfano, Colorado, US",6897
"Jackson, Colorado, US",1392
"Jefferson, Colorado, US",582881
"Kiowa, Colorado, US",1406
"Kit Carson, Colorado, US",7097
"Lake, Colorado, US",8127
"La Plata, Colorado, US",56221
"Larimer, Colorado, US",356899
"Las Animas, Colorado, US",14506
"Lincoln, Colorado, US",5701
"Logan, Colorado, US",22409
"Mesa, Colorado, US",154210
"Mineral, Colorado, US",769
"Moffat, Colorado, US",13283
"Montezuma, Colorado, US",26183
"Montrose, Colorado, US",42758
"Morgan, Colorado, US",29068
"Otero, Colorado, US",18278
"Ouray, Colorado, US",4952
"Park, Colorado, US",18845
"Phillips, Colorado, US",4265
"Pitkin, Colorado, US",17767
"Prowers, Colorado, US",12172
"Pueblo, Colorado, US",168424
"Rio Blanco, Colorado, US",6324
"Rio Grande, Colorado, US",11267
"Routt, Colorado, US",25638
"Saguache, Colorado, US",6824
"San Juan, Colorado, US",728
"San Miguel, Colorado, US",8179
"Sedgwick, Colorado, US",2248
"Summit, Colorado, US",31011
"Teller, Colorado, US",25388
"Washington, Colorado, US",4908
"Weld, Colorado, US",324492
"Yuma, Colorado, US",10019
"Fairfield, Connecticut, US",943332
"Hartford, Connecticut, US",891720
"Litchfield, Connecticut, US",180333
"Middlesex, Connecticut, US",162436
"New Haven, Connecticut, US",854757
"New London, Connecticut, US",265206
"Tolland, Connecticut, US",150721
"Windham, Connecticut, US",116782
"Kent, Delaware, US",180786
"New Castle, Delaware, US",558753
"Sussex, Delaware, US",234225
"Alachua, Florida, US",269043
"Baker, Florida, US",29210
"Bay, Florida, US",174705
"Bradford, Florida, US",28201
"Brevard, Florida, US",601942
"Broward, Florida, US",1952778
"Calhoun, Florida, US",14105
"Charlotte, Florida, US",188910
"Citrus, Florida, US",149657
"Clay, Florida, US",219252
"Collier, Florida, US",384902
"Columbia, Florida, US",71686
"DeSoto, Florida, US",38001
"Dixie, Florida, US",16826
"Duval, Florida, US",957755
"Escambia, Florida, US",318316
"Flagler, Florida, US",115081
"Franklin, Florida, US",12125
"Gadsden, Florida, US",45660
"Gilchrist, Florida, US",18582
"Glades, Florida, US",13811
"Gulf, Florida, US",13639
"Hamilton, Florida, US",14428
"Hardee, Florida, US",26937
"Hendry, Florida, US",42022
"Hernando, Florida, US",193920
"Highlands, Florida, US",106221
"Hillsborough, Florida, US",1471968
"Holmes, Florida, US",19617
"Indian River, Florida, US",159923
"Jackson, Florida, US",46414
"Jefferson, Florida, US",14246
"Lafayette, Florida, US",8422
"Lake, Florida, US",367118
"Lee, Florida, US",770577
"Leon, Florida, US",293582
"Levy, Florida, US",41503
"Liberty, Florida, US",8354
"Madison, Florida, US",18493
"Manatee, Florida, US",403253
"Marion, Florida, US",365579
"Martin, Florida, US",161000
"Miami-Dade, Florida, US",2716940
"Monroe, Florida, US",74228
"Nassau, Florida, US",88625
"Okaloosa, Florida, US",210738
"Okeechobee, Florida, US",42168
"Orange, Florida, US",1393452
"Osceola, Florida, US",375751
"Palm Beach, Florida, US",1496770
"Pasco, Florida, US",553947
"Pinellas, Florida, US",974996
"Polk, Florida, US",724777
"Putnam, Florida, US",74521
"St. Johns, Florida, US",264672
"St. Lucie, Florida, US",328297
"Santa Rosa, Florida, US",184313
"Sarasota, Florida, US",433742
"Seminole, Florida, US",471826
"Sumter, Florida, US",132420
"Suwannee, Florida, US",44417
"Taylor, Florida, US",21569
"Union, Florida, US",15237
"Volusia, Florida, US",553284
"Wakulla, Florida, US",33739
"Walton, Florida, US",74071
"Washington, Florida, US",25473
"Appling, Georgia, US",18386
"Atkinson, Georgia, US",8165
"Bacon, Georgia, US",11164
"Baker, Georgia, US",3038
"Baldwin, Georgia, US",44890
"Banks, Georgia, US",19234
"Barrow, Georgia, US",83240
"Bartow, Georgia, US",107738
"Ben Hill, Georgia, US",16700
"Berrien, Georgia, US",19397
"Bibb, Georgia, US",153159
"Bleckley, Georgia, US",12873
"Brantley, Georgia, US",19109
"Brooks, Georgia, US",15457
"Bryan, Georgia, US",39627
"Bulloch, Georgia, US",79608
"Burke, Georgia, US",22383
"Butts, Georgia, US",24936
"Calhoun, Georgia, US",6189
"Camden, Georgia, US",54666
"Candler, Georgia, US",10803
"Carroll, Georgia, US",119992
"Catoosa, Georgia, US",67580
"Charlton, Georgia, US",13392
"Chatham, Georgia, US",289430
"Chattahoochee, Georgia, US",10907
"Chattooga, Georgia, US",24789
"Cherokee, Georgia, US",258773
"Clarke, Georgia, US",128331
"Clay, Georgia, US",2834
"Clayton, Georgia, US",292256
"Clinch, Georgia, US",6618
"Cobb, Georgia, US",760141
"Coffee, Georgia, US",43273
"Colquitt, Georgia, US",45600
"Columbia, Georgia, US",156714
"Cook, Georgia, US",17270
"Coweta, Georgia, US",148509
"Crawford, Georgia, US",12404
"Crisp, Georgia, US",22372
"Dade, Georgia, US",16116
"Dawson, Georgia, US",26108
"Decatur, Georgia, US",26404
"DeKalb, Georgia, US",759297
"Dodge, Georgia, US",20605
"Dooly, Georgia, US",13390
"Dougherty, Georgia, US",87956
"Douglas, Georgia, US",146343
"Early, Georgia, US",10190
"Echols, Georgia, US",4006
