Combined_Key,Population
"Tama, Iowa, US",16854
"Taylor, Iowa, US",6121
"Union, Iowa, US",12241
"Van Buren, Iowa, US",7044
"Wapello, Iowa, US",34969
"Warren, Iowa, US",51466
"Washington, Iowa, US",21965
"Wayne, Iowa, US",6441
"Webster, Iowa, US",35904
"Winnebago, Iowa, US",10354
"Winneshiek, Iowa, US",19991
"Woodbury, Iowa, US",103107
"Worth, Iowa, US",7381
"Wright, Iowa, US",12562
"Allen, Kansas, US",12369
"Anderson, Kansas, US",7858
"Atchison, Kansas, US",16073
"Barber, Kansas, US",4427
"Barton, Kansas, US",25779
"Bourbon, Kansas, US",14534
"Brown, Kansas, US",9564
"Butler, Kansas, US",66911
"Chase, Kansas, US",2648
"Chautauqua, Kansas, US",3250
"Cherokee, Kansas, US",19939
"Cheyenne, Kansas, US",2657
"Clark, Kansas, US",1994
"Clay, Kansas, US",8002
"Cloud, Kansas, US",8786
"Coffey, Kansas, US",8179
"Comanche, Kansas, US",1700
"Cowley, Kansas, US",34908
"Crawford, Kansas, US",38818
"Decatur, Kansas, US",2827
"Dickinson, Kansas, US",18466
"Doniphan, Kansas, US",7600
"Douglas, Kansas, US",122259
"Edwards, Kansas, US",2798
"Elk, Kansas, US",2530
"Ellis, Kansas, US",28553
"Ellsworth, Kansas, US",6102
"Finney, Kansas, US",36467
"Ford, Kansas, US",33619
"Franklin, Kansas, US",25544
"Geary, Kansas, US",31670
"Gove, Kansas, US",2636
"Graham, Kansas, US",2482
"Grant, Kansas, US",7150
"Gray, Kansas, US",5988
"Greeley, Kansas, US",1232
"Greenwood, Kansas, US",5982
"Hamilton, Kansas, US",2539
"Harper, Kansas, US",5436
"Harvey, Kansas, US",34429
"Haskell, Kansas, US",3968
"Hodgeman, Kansas, US",1794
"Jackson, Kansas, US",13171
"Jefferson, Kansas, US",19043
"Jewell, Kansas, US",2879
"Johnson, Kansas, US",602401
"Kearny, Kansas, US",3838
"Kingman, Kansas, US",7152
"Kiowa, Kansas, US",2475
"Labette, Kansas, US",19618
"Lane, Kansas, US",1535
"Leavenworth, Kansas, US",81758
"Lincoln, Kansas, US",2962
"Linn, Kansas, US",9703
"Logan, Kansas, US",2794
"Lyon, Kansas, US",33195
"McPherson, Kansas, US",28542
"Marion, Kansas, US",11884
"Marshall, Kansas, US",9707
"Meade, Kansas, US",4033
"Miami, Kansas, US",34237
"Mitchell, Kansas, US",5979
"Montgomery, Kansas, US",31829
"Morris, Kansas, US",5620
"Morton, Kansas, US",2587
"Nemaha, Kansas, US",10231
"Neosho, Kansas, US",16007
"Ness, Kansas, US",2750
"Norton, Kansas, US",5361
"Osage, Kansas, US",15949
"Osborne, Kansas, US",3421
"Ottawa, Kansas, US",5704
"Pawnee, Kansas, US",6414
"Phillips, Kansas, US",5234
"Pottawatomie, Kansas, US",24383
"Pratt, Kansas, US",9164
"Rawlins, Kansas, US",2530
"Reno, Kansas, US",61998
"Republic, Kansas, US",4636
"Rice, Kansas, US",9537
"Riley, Kansas, US",74232
"Rooks, Kansas, US",4920
"Rush, Kansas, US",3036
"Russell, Kansas, US",6856
"Saline, Kansas, US",54224
"Scott, Kansas, US",4823
"Sedgwick, Kansas, US",516042
"Seward, Kansas, US",21428
"Shawnee, Kansas, US",176875
"Sheridan, Kansas, US",2521
"Sherman, Kansas, US",5917
"Smith, Kansas, US",3583
"Stafford, Kansas, US",4156
"Stanton, Kansas, US",2006
"Stevens, Kansas, US",5485
"Sumner, Kansas, US",22836
"Thomas, Kansas, US",7777
"Trego, Kansas, US",2803
"Wabaunsee, Kansas, US",6931
"Wallace, Kansas, US",1518
"Washington, Kansas, US",5406
"Wichita, Kansas, US",2119
"Wilson, Kansas, US",8525
"Woodson, Kansas, US",3138
"Wyandotte, Kansas, US",165429
"Adair, Kentucky, US",19202
"Allen, Kentucky, US",21315
"Anderson, Kentucky, US",22747
"Ballard, Kentucky, US",7888
"Barren, Kentucky, US",44249
"Bath, Kentucky, US",12500
"Bell, Kentucky, US",26032
"Boone, Kentucky, US",133581
"Bourbon, Kentucky, US",19788
"Boyd, Kentucky, US",46718
"Boyle, Kentucky, US",30060
"Bracken, Kentucky, US",8303
"Breathitt, Kentucky, US",12630
"Breckinridge, Kentucky, US",20477
"Bullitt, Kentucky, US",81676
"Butler, Kentucky, US",12879
"Caldwell, Kentucky, US",12747
"Calloway, Kentucky, US",39001
"Campbell, Kentucky, US",93584
"Carlisle, Kentucky, US",4760
"Carroll, Kentucky, US",10631
"Carter, Kentucky, US",26797
"Casey, Kentucky, US",16159
"Christian, Kentucky, US",70461
"Clark, Kentucky, US",36263
"Clay, Kentucky, US",19901
"Clinton, Kentucky, US",10218
"Crittenden, Kentucky, US",8806
"Cumberland, Kentucky, US",6614
"Daviess, Kentucky, US",101511
"Edmonson, Kentucky, US",12150
"Elliott, Kentucky, US",7517
"Estill, Kentucky, US",14106
"Fayette, Kentucky, US",323152
"Fleming, Kentucky, US",14581
"Floyd, Kentucky, US",35589
"Franklin, Kentucky, US",50991
"Fulton, Kentucky, US",5969
"Gallatin, Kentucky, US",8869
"Garrard, Kentucky, US",17666
"Grant, Kentucky, US",25069
"Graves, Kentucky, US",37266
"Grayson, Kentucky, US",26427
"Green, Kentucky, US",10941
"Greenup, Kentucky, US",35098
"Hancock, Kentucky, US",8722
"Hardin, Kentucky, US",110958
"Harlan, Kentucky, US",26010
"Harrison, Kentucky, US",18886
"Hart, Kentucky, US",19035
"Henderson, Kentucky, US",45210
"Henry, Kentucky, US",16126
"Hickman, Kentucky, US",4380
"Hopkins, Kentucky, US",44686
"Jackson, Kentucky, US",13329
"Jefferson, Kentucky, US",766757
"Jessamine, Kentucky, US",54115
"Johnson, Kentucky, US",22188
"Kenton, Kentucky, US",166998
"Knott, Kentucky, US",14806
"Knox, Kentucky, US",31145
"Larue, Kentucky, US",14398
"Laurel, Kentucky, US",60813
"Lawrence, Kentucky, US",15317
"Lee, Kentucky, US",7403
"Leslie, Kentucky, US",9877
"Letcher, Kentucky, US",21553
"Lewis, Kentucky, US",13275
"Lincoln, Kentucky, US",24549
"Livingston, Kentucky, US",9194
"Logan, Kentucky, US",27102
"Lyon, Kentucky, US",8210
"McCracken, Kentucky, US",65418
"McCreary, Kentucky, US",17231
"McLean, Kentucky, US",9207
"Madison, Kentucky, US",92987
"Magoffin, Kentucky, US",12161
"Marion, Kentucky, US",19273
"Marshall, Kentucky, US",31100
"Martin, Kentucky, US",11195
"Mason, Kentucky, US",17070
"Meade, Kentucky, US",28572
"Menifee, Kentucky, US",6489
"Mercer, Kentucky, US",21933
"Metcalfe, Kentucky, US",10071
"Monroe, Kentucky, US",10650
"Montgomery, Kentucky, US",28157
"Morgan, Kentucky, US",13309
"Muhlenberg, Kentucky, US",30622
"Nelson, Kentucky, US",46233
"Nicholas, Kentucky, US",7269
"Ohio, Kentucky, US",23994
"Oldham, Kentucky, US",66799
"Owen, Kentucky, US",10901
"Owsley, Kentucky, US",4415
"Pendleton, Kentucky, US",14590
"Perry, Kentucky, US",25758
"Pike, Kentucky, US",57876
"Powell, Kentucky, US",12359
"Pulaski, Kentucky, US",64979
"Robertson, Kentucky, US",2108
"Rockcastle, Kentucky, US",16695
"Rowan, Kentucky, US",24460
"Russell, Kentucky, US",17923
"Scott, Kentucky, US",57004
"Shelby, Kentucky, US",49024
"Simpson, Kentucky, US",18572
"Spencer, Kentucky, US",19351
"Taylor, Kentucky, US",25769
"Todd, Kentucky, US",12294
"Trigg, Kentucky, US",14651
"Trimble, Kentucky, US",8471
"Union, Kentucky, US",14381
"Warren, Kentucky, US",132896
"Washington, Kentucky, US",12095
"Wayne, Kentucky, US",20333
"Webster, Kentucky, US",12942
"Whitley, Kentucky, US",36264
"Wolfe, Kentucky, US",7157
"Woodford, Kentucky, US",26734
"Acadia, Louisiana, US",62045
"Allen, Louisiana, US",25627
"Ascension, Louisiana, US",126604
"Assumption, Louisiana, US",21891
"Avoyelles, Louisiana, US",40144
"Beauregard, Louisiana, US",37497
"Bienville, Louisiana, US",13241
"Bossier, Louisiana, US",127039
"Caddo, Louisiana, US",240204
"Calcasieu, Louisiana, US",203436
"Caldwell, Louisiana, US",9918
"Cameron, Louisiana, US",6973
"Catahoula, Louisiana, US",9494
"Claiborne, Louisiana, US",15670
"Concordia, Louisiana, US",19259
"De Soto, Louisiana, US",27463
"East Baton Rouge, Louisiana, US",440059
"East Carroll, Louisiana, US",6861
"East Feliciana, Louisiana, US",19135
"Evangeline, Louisiana, US",33395
"Franklin, Louisiana, US",20015
"Grant, Louisiana, US",22389
"Iberia, Louisiana, US",69830
"Iberville, Louisiana, US",32511
"Jackson, Louisiana, US",15744
"Jefferson, Louisiana, US",432493
"Jefferson Davis, Louisiana, US",31368
"Lafayette, Louisiana, US",244390
"Lafourche, Louisiana, US",97614
"LaSalle, Louisiana, US",14892
"Lincoln, Louisiana, US",46742
"Livingston, Louisiana, US",140789
"Madison, Louisiana, US",10951
"Morehouse, Louisiana, US",24874
"Natchitoches, Louisiana, US",38158
"Orleans, Louisiana, US",390144
"Ouachita, Louisiana, US",153279
"Plaquemines, Louisiana, US",23197
"Pointe Coupee, Louisiana, US",21730
"Rapides, Louisiana, US",129648
"Red River, Louisiana, US",8442
"Richland, Louisiana, US",20122
"Sabine, Louisiana, US",23884
"St. Bernard, Louisiana, US",47244
"St. Charles, Louisiana, US",53100
"St. Helena, Louisiana, US",10132
"St. James, Louisiana, US",21096
"St. John the Baptist, Louisiana, US",42837
"St. Landry, Louisiana, US",82124
"St. Martin, Louisiana, US",53431
"St. Mary, Louisiana, US",49348
"St. Tammany, Louisiana, US",260419
"Tangipahoa, Louisiana, US",134758
"Tensas, Louisiana, US",4334
"Terrebonne, Louisiana, US",110461
"Union, Louisiana, US",22108
"Vermilion, Louisiana, US",59511
"Vernon, Louisiana, US",47429
"Washington, Louisiana, US",46194
"Webster, Louisiana, US",38340
"West Baton Rouge, Louisiana, US",26465
"West Carroll, Louisiana, US",10830
"West Feliciana, Louisiana, US",15568
"Winn, Louisiana, US",13904
"Androscoggin, Maine, US",108277
"Aroostook, Maine, US",67055
"Cumberland, Maine, US",295003
"Franklin, Maine, US",30199
"Hancock, Maine, US",54987
"Kennebec, Maine, US",122302
"Knox, Maine, US",39772
"Lincoln, Maine, US",34634
"Oxford, Maine, US",57975
"Penobscot, Maine, US",152148
"Piscataquis, Maine, US",16785
"Sagadahoc, Maine, US",35856
"Somerset, Maine, US",50484
"Waldo, Maine, US",39715
"Washington, Maine, US",31379
"York, Maine, US",207641
"Allegany, Maryland, US",70416
"Anne Arundel, Maryland, US",579234
"Baltimore, Maryland, US",827370
"Calvert, Maryland, US",92525
"Caroline, Maryland, US",33406
"Carroll, Maryland, US",168447
"Cecil, Maryland, US",102855
"Charles, Maryland, US",163257
"Dorchester, Maryland, US",31929
"Frederick, Maryland, US",259547
"Garrett, Maryland, US",29014
"Harford, Maryland, US",255441
"Howard, Maryland, US",325690
"Kent, Maryland, US",19422
"Montgomery, Maryland, US",1050688
"Prince George's, Maryland, US",909327
"Queen Anne's, Maryland, US",50381
"St. Mary's, Maryland, US",113510
"Somerset, Maryland, US",25616
"Talbot, Maryland, US",37181
"Washington, Maryland, US",151049
"Wicomico, Maryland, US",103609
"Worcester, Maryland, US",52276
"Baltimore City, Maryland, US",593490
"Barnstable, Massachusetts, US",212990
"Berkshire, Massachusetts, US",124944
"Bristol, Massachusetts, US",565217
"Dukes and Nantucket, Massachusetts, US",28731
"Essex, Massachusetts, US",789034
"Franklin, Massachusetts, US",70180
"Hampden, Massachusetts, US",466372
"Hampshire, Massachusetts, US",160830
"Middlesex, Massachusetts, US",1611699
"Nantucket, Massachusetts, US",11399
"Norfolk, Massachusetts, US",706775
"Plymouth, Massachusetts, US",521202
"Suffolk, Massachusetts, US",803907
"Worcester, Massachusetts, US",830622
"Alcona, Michigan, US",10405
"Alger, Michigan, US",9108
"Allegan, Michigan, US",118081
"Alpena, Michigan, US",28405
"Antrim, Michigan, US",23324
"Arenac, Michigan, US",14883
"Baraga, Michigan, US",8209
"Barry, Michigan, US",61550
"Bay, Michigan, US",103126
"Benzie, Michigan, US",17766
"Berrien, Michigan, US",153401
"Branch, Michigan, US",43517
"Calhoun, Michigan, US",134159
"Cass, Michigan, US",51787
"Charlevoix, Michigan, US",26143
"Cheboygan, Michigan, US",25276
"Chippewa, Michigan, US",37349
"Clare, Michigan, US",30950
"Clinton, Michigan, US",79595
"Crawford, Michigan, US",14029
"Delta, Michigan, US",35784
"Dickinson, Michigan, US",25239
"Eaton, Michigan, US",110268
"Emmet, Michigan, US",33415
"Genesee, Michigan, US",405813
"Gladwin, Michigan, US",25449
"Gogebic, Michigan, US",13975
"Grand Traverse, Michigan, US",93088
"Gratiot, Michigan, US",40711
"Hillsdale, Michigan, US",45605
"Houghton, Michigan, US",35684
"Huron, Michigan, US",30981
"Ingham, Michigan, US",292406
"Ionia, Michigan, US",64697
"Iosco, Michigan, US",25127
"Iron, Michigan, US",11066
"Isabella, Michigan, US",69872
"Jackson, Michigan, US",158510
"Kalamazoo, Michigan, US",265066
"Kalkaska, Michigan, US",18038
"Kent, Michigan, US",656955
"Keweenaw, Michigan, US",2116
"Lake, Michigan, US",11853
"Lapeer, Michigan, US",87607
"Leelanau, Michigan, US",21761
"Lenawee, Michigan, US",98451
"Livingston, Michigan, US",191995
"Luce, Michigan, US",6229
"Mackinac, Michigan, US",10799
"Macomb, Michigan, US",873972
"Manistee, Michigan, US",24558
"Marquette, Michigan, US",66699
"Mason, Michigan, US",29144
"Mecosta, Michigan, US",43453
"Menominee, Michigan, US",22780
"Midland, Michigan, US",83156
"Missaukee, Michigan, US",15118
"Monroe, Michigan, US",150500
"Montcalm, Michigan, US",63888
"Montmorency, Michigan, US",9328
"Muskegon, Michigan, US",173566
"Newaygo, Michigan, US",48980
"Oakland, Michigan, US",1257584
"Oceana, Michigan, US",26467
"Ogemaw, Michigan, US",20997
"Ontonagon, Michigan, US",5720
"Osceola, Michigan, US",23460
"Oscoda, Michigan, US",8241
"Otsego, Michigan, US",24668
"Ottawa, Michigan, US",291830
"Presque Isle, Michigan, US",12592
"Roscommon, Michigan, US",24019
"Saginaw, Michigan, US",190539
"St. Clair, Michigan, US",159128
"St. Joseph, Michigan, US",60964
"Sanilac, Michigan, US",41170
"Schoolcraft, Michigan, US",8094
"Shiawassee, Michigan, US",68122
"Tuscola, Michigan, US",52245
"Van Buren, Michigan, US",75677
"Washtenaw, Michigan, US",367601
"Wayne, Michigan, US",1749343
"Wexford, Michigan, US",33631
"Aitkin, Minnesota, US",15886
"Anoka, Minnesota, US",356921
"Becker, Minnesota, US",34423
"Beltrami, Minnesota, US",47188
"Benton, Minnesota, US",40889
"Big Stone, Minnesota, US",4991
"Blue Earth, Minnesota, US",67653
"Brown, Minnesota, US",25008
"Carlton, Minnesota, US",35871
"Carver, Minnesota, US",105089
"Cass, Minnesota, US",29779
"Chippewa, Minnesota, US",11800
"Chisago, Minnesota, US",56579
"Clay, Minnesota, US",64222
"Clearwater, Minnesota, US",8818
"Cook, Minnesota, US",5463
"Cottonwood, Minnesota, US",11196
"Crow Wing, Minnesota, US",65055
"Dakota, Minnesota, US",429021
"Dodge, Minnesota, US",20934
"Douglas, Minnesota, US",38141
"Faribault, Minnesota, US",13653
"Fillmore, Minnesota, US",21067
"Freeborn, Minnesota, US",30281
"Goodhue, Minnesota, US",46340
"Grant, Minnesota, US",5972
"Hennepin, Minnesota, US",1265843
"Houston, Minnesota, US",18600
"Hubbard, Minnesota, US",21491
"Isanti, Minnesota, US",40596
"Itasca, Minnesota, US",45130
"Jackson, Minnesota, US",9846
"Kanabec, Minnesota, US",16337
"Kandiyohi, Minnesota, US",43199
"Kittson, Minnesota, US",4298
"Koochiching, Minnesota, US",12229
"Lac qui Parle, Minnesota, US",6623
"Lake, Minnesota, US",10641
"Lake of the Woods, Minnesota, US",3740
"Le Sueur, Minnesota, US",28887
"Lincoln, Minnesota, US",5639
"Lyon, Minnesota, US",25474
"McLeod, Minnesota, US",35893
"Mahnomen, Minnesota, US",5527
"Marshall, Minnesota, US",9336
"Martin, Minnesota, US",19683
"Meeker, Minnesota, US",23222
"Mille Lacs, Minnesota, US",26277
"Morrison, Minnesota, US",33386
"Mower, Minnesota, US",40062
"Murray, Minnesota, US",8194
"Nicollet, Minnesota, US",34274
"Nobles, Minnesota, US",21629
"Norman, Minnesota, US",6375
"Olmsted, Minnesota, US",158293
"Otter Tail, Minnesota, US",58746
"Pennington, Minnesota, US",14119
"Pine, Minnesota, US",29579
"Pipestone, Minnesota, US",9126
"Polk, Minnesota, US",31364
"Pope, Minnesota, US",11249
"Ramsey, Minnesota, US",550321
"Red Lake, Minnesota, US",4055
"Redwood, Minnesota, US",15170
"Renville, Minnesota, US",14548
"Rice, Minnesota, US",66972
"Rock, Minnesota, US",9315
"Roseau, Minnesota, US",15165
"St. Louis, Minnesota, US",199070
"Scott, Minnesota, US",149013
"Sherburne, Minnesota, US",97238
"Sibley, Minnesota, US",14865
"Stearns, Minnesota, US",161075
"Steele, Minnesota, US",36649
"Stevens, Minnesota, US",9805
"Swift, Minnesota, US",9266
"Todd, Minnesota, US",24664
"Traverse, Minnesota, US",3259
"Wabasha, Minnesota, US",21627
"Wadena, Minnesota, US",13682
"Waseca, Minnesota, US",18612
"Washington, Minnesota, US",262440
"Watonwan, Minnesota, US",10897
"Wilkin, Minnesota, US",6207
"Winona, Minnesota, US",50484
"Wright, Minnesota, US",138377
"Yellow Medicine, Minnesota, US",9709
"Adams, Mississippi, US",30693
"Alcorn, Mississippi, US",36953
"Amite, Mississippi, US",12297
"Attala, Mississippi, US",18174
"Benton, Mississippi, US",8259
"Bolivar, Mississippi, US",30628
"Calhoun, Mississippi, US",14361
"Carroll, Mississippi, US",9947
"Chickasaw, Mississippi, US",17103
"Choctaw, Mississippi, US",8210
"Claiborne, Mississippi, US",8988
"Clarke, Mississippi, US",15541
"Clay, Mississippi, US",19316
"Coahoma, Mississippi, US",22124
"Copiah, Mississippi, US",28065
"Covington, Mississippi, US",18636
"DeSoto, Mississippi, US",184945
"Forrest, Mississippi, US",74897
"Franklin, Mississippi, US",7713
"George, Mississippi, US",24500
"Greene, Mississippi, US",13586
"Grenada, Mississippi, US",20758
"Hancock, Mississippi, US",47632
"Harrison, Mississippi, US",208080
"Hinds, Mississippi, US",231840
"Holmes, Mississippi, US",17010
"Humphreys, Mississippi, US",8064
"Issaquena, Mississippi, US",1327
"Itawamba, Mississippi, US",23390
"Jackson, Mississippi, US",143617
"Jasper, Mississippi, US",16383
"Jefferson, Mississippi, US",6990
"Jefferson Davis, Mississippi, US",11128
"Jones, Mississippi, US",68098
"Kemper, Mississippi, US",9742
"Lafayette, Mississippi, US",54019
"Lamar, Mississippi, US",63343
"Lauderdale, Mississippi, US",74125
"Lawrence, Mississippi, US",12586
"Leake, Mississippi, US",22786
"Lee, Mississippi, US",85436
"Leflore, Mississippi, US",28183
"Lincoln, Mississippi, US",34153
"Lowndes, Mississippi, US",58595
"Madison, Mississippi, US",106272
"Marion, Mississippi, US",24573
"Marshall, Mississippi, US",35294
"Monroe, Mississippi, US",35252
"Montgomery, Mississippi, US",9775
"Neshoba, Mississippi, US",29118
"Newton, Mississippi, US",21018
"Noxubee, Mississippi, US",10417
"Oktibbeha, Mississippi, US",49587
"Panola, Mississippi, US",34192
"Pearl River, Mississippi, US",55535
"Perry, Mississippi, US",11973
"Pike, Mississippi, US",39288
"Pontotoc, Mississippi, US",32174
"Prentiss, Mississippi, US",25126
"Quitman, Mississippi, US",6792
"Rankin, Mississippi, US",155271
"Scott, Mississippi, US",28124
"Sharkey, Mississippi, US",4321
"Simpson, Mississippi, US",26658
"Smith, Mississippi, US",15916
"Stone, Mississippi, US",18336
"Sunflower, Mississippi, US",25110
"Tallahatchie, Mississippi, US",13809
"Tate, Mississippi, US",28321
"Tippah, Mississippi, US",22015
"Tishomingo, Mississippi, US",19383
"Tunica, Mississippi, US",9632
"Union, Mississippi, US",28815
"Walthall, Mississippi, US",14286
"Warren, Mississippi, US",45381
"Washington, Mississippi, US",43909
"Wayne, Mississippi, US",20183
"Webster, Mississippi, US",9689
"Wilkinson, Mississippi, US",8630
"Winston, Mississippi, US",17955
"Yalobusha, Mississippi, US",12108
"Yazoo, Mississippi, US",29690
"Adair, Missouri, US",25343
"Andrew, Missouri, US",17712
"Atchison, Missouri, US",5143
"Audrain, Missouri, US",25388
"Barry, Missouri, US",35789
"Barton, Missouri, US",11754
"Bates, Missouri, US",16172
"Benton, Missouri, US",19443
"Bollinger, Missouri, US",12133
"Boone, Missouri, US",180463
"Buchanan, Missouri, US",87364
"Butler, Missouri, US",42478
"Caldwell, Missouri, US",9020
"Callaway, Missouri, US",44743
"Camden, Missouri, US",46305
"Cape Girardeau, Missouri, US",78871
"Carroll, Missouri, US",8679
"Carter, Missouri, US",5982
"Cass, Missouri, US",105780
"Cedar, Missouri, US",14349
"Chariton, Missouri, US",7426
"Christian, Missouri, US",88595
"Clark, Missouri, US",6797
"Clay, Missouri, US",249948
"Clinton, Missouri, US",20387
"Cole, Missouri, US",76745
"Cooper, Missouri, US",17709
"Crawford, Missouri, US",23920
"Dade, Missouri, US",7561
"Dallas, Missouri, US",16878
"Daviess, Missouri, US",8278
"DeKalb, Missouri, US",12547
"Dent, Missouri, US",15573
"Douglas, Missouri, US",13185
"Dunklin, Missouri, US",29131
"Franklin, Missouri, US",103967
"Gasconade, Missouri, US",14706
"Gentry, Missouri, US",6571
"Greene, Missouri, US",293086
"Grundy, Missouri, US",9850
"Harrison, Missouri, US",8352
"Henry, Missouri, US",21824
"Hickory, Missouri, US",9544
"Holt, Missouri, US",4403
"Howard, Missouri, US",10001
"Howell, Missouri, US",40117
"Iron, Missouri, US",10125
"Jackson, Missouri, US",703011
"Jasper, Missouri, US",121328
"Jefferson, Missouri, US",225081
"Johnson, Missouri, US",54062
"Knox, Missouri, US",3959
"Laclede, Missouri, US",35723
"Lafayette, Missouri, US",32708
"Lawrence, Missouri, US",38355
"Lewis, Missouri, US",9776
"Lincoln, Missouri, US",59013
"Linn, Missouri, US",11920
"Livingston, Missouri, US",15227
"McDonald, Missouri, US",22837
"Macon, Missouri, US",15117
"Madison, Missouri, US",12088
"Maries, Missouri, US",8697
"Marion, Missouri, US",28530
"Mercer, Missouri, US",3617
"Miller, Missouri, US",25619
"Mississippi, Missouri, US",13180
"Moniteau, Missouri, US",16132
"Monroe, Missouri, US",8644
"Montgomery, Missouri, US",11551
"Morgan, Missouri, US",20627
"New Madrid, Missouri, US",17076
"Newton, Missouri, US",58236
"Nodaway, Missouri, US",22092
"Oregon, Missouri, US",10529
"Osage, Missouri, US",13615
"Ozark, Missouri, US",9174
"Pemiscot, Missouri, US",15805
"Perry, Missouri, US",19136
"Pettis, Missouri, US",42339
"Phelps, Missouri, US",44573
"Pike, Missouri, US",18302
"Platte, Missouri, US",104418
"Polk, Missouri, US",32149
"Pulaski, Missouri, US",52607
"Putnam, Missouri, US",4696
"Ralls, Missouri, US",10309
"Randolph, Missouri, US",24748
"Ray, Missouri, US",23018
"Reynolds, Missouri, US",6270
"Ripley, Missouri, US",13288
"St. Charles, Missouri, US",402022
"St. Clair, Missouri, US",9397
"Ste. Genevieve, Missouri, US",17894
"St. Francois, Missouri, US",67215
"St. Louis, Missouri, US",994205
"Saline, Missouri, US",22761
"Schuyler, Missouri, US",4660
"Scotland, Missouri, US",4902
"Scott, Missouri, US",38280
"Shannon, Missouri, US",8166
"Shelby, Missouri, US",5930
"Stoddard, Missouri, US",29025
"Stone, Missouri, US",31952
"Sullivan, Missouri, US",6089
"Taney, Missouri, US",55928
"Texas, Missouri, US",25398
"Vernon, Missouri, US",20563
"Warren, Missouri, US",35649
"Washington, Missouri, US",24730
"Wayne, Missouri, US",12873
"Webster, Missouri, US",39592
"Worth, Missouri, US",2013
"Wright, Missouri, US",18289
"St. Louis City, Missouri, US",300576
"Beaverhead, Montana, US",9453
"Big Horn, Montana, US",13319
"Blaine, Montana, US",6681
"Broadwater, Montana, US",6237
"Carbon, Montana, US",10725
"Carter, Montana, US",1252
"Cascade, Montana, US",81366
"Chouteau, Montana, US",5635
"Custer, Montana, US",11402
"Daniels, Montana, US",1690
"Dawson, Montana, US",8613
"Deer Lodge, Montana, US",9140
"Fallon, Montana, US",2846
"Fergus, Montana, US",11050
"Flathead, Montana, US",103806
"Gallatin, Montana, US",114434
"Garfield, Montana, US",1258
"Glacier, Montana, US",13753
"Golden Valley, Montana, US",821
"Granite, Montana, US",3379
"Hill, Montana, US",16484
"Jefferson, Montana, US",12221
"Judith Basin, Montana, US",2007
"Lake, Montana, US",30458
"Lewis and Clark, Montana, US",69432
"Liberty, Montana, US",2337
"Lincoln, Montana, US",19980
"McCone, Montana, US",1664
"Madison, Montana, US",8600
"Meagher, Montana, US",1862
"Mineral, Montana, US",4397
"Missoula, Montana, US",119600
"Musselshell, Montana, US",4633
"Park, Montana, US",16606
"Petroleum, Montana, US",487
"Phillips, Montana, US",3954
"Pondera, Montana, US",5911
"Powder River, Montana, US",1682
"Powell, Montana, US",6890
"Prairie, Montana, US",1077
"Ravalli, Montana, US",43806
"Richland, Montana, US",10803
"Roosevelt, Montana, US",11004
"Rosebud, Montana, US",8937
"Sanders, Montana, US",12113
"Sheridan, Montana, US",3309
"Silver Bow, Montana, US",34915
"Stillwater, Montana, US",9642
"Sweet Grass, Montana, US",3737
"Teton, Montana, US",6147
"Toole, Montana, US",4736
"Treasure, Montana, US",696
"Valley, Montana, US",7396
"Wheatland, Montana, US",2126
"Wibaux, Montana, US",969
"Yellowstone, Montana, US",161300
"Adams, Nebraska, US",31363
"Antelope, Nebraska, US",6298
"Arthur, Nebraska, US",463
"Banner, Nebraska, US",745
"Blaine, Nebraska, US",465
"Boone, Nebraska, US",5192
"Box Butte, Nebraska, US",10783
"Boyd, Nebraska, US",1919
"Brown, Nebraska, US",2955
"Buffalo, Nebraska, US",49659
"Burt, Nebraska, US",6459
"Butler, Nebraska, US",8016
"Cass, Nebraska, US",26248
"Cedar, Nebraska, US",8402
"Chase, Nebraska, US",3924
"Cherry, Nebraska, US",5689
"Cheyenne, Nebraska, US",8910
"Clay, Nebraska, US",6203
"Colfax, Nebraska, US",10709
"Cuming, Nebraska, US",8846
"Custer, Nebraska, US",10777
"Dakota, Nebraska, US",20026
"Dawes, Nebraska, US",8589
"Dawson, Nebraska, US",23595
"Deuel, Nebraska, US",1794
"Dixon, Nebraska, US",5636
"Dodge, Nebraska, US",36565
"Douglas, Nebraska, US",571327
"Dundy, Nebraska, US",1693
"Fillmore, Nebraska, US",5462
"Franklin, Nebraska, US",2979
"Frontier, Nebraska, US",2627
"Furnas, Nebraska, US",4676
"Gage, Nebraska, US",21513
"Garden, Nebraska, US",1837
"Garfield, Nebraska, US",1969
"Gosper, Nebraska, US",1990
"Grant, Nebraska, US",623
"Greeley, Nebraska, US",2356
"Hall, Nebraska, US",61353
"Hamilton, Nebraska, US",9324
"Harlan, Nebraska, US",3380
"Hayes, Nebraska, US",922
"Hitchcock, Nebraska, US",2762
"Holt, Nebraska, US",10067
"Hooker, Nebraska, US",682
"Howard, Nebraska, US",6445
"Jefferson, Nebraska, US",7046
"Johnson, Nebraska, US",5071
"Kearney, Nebraska, US",6495
"Keith, Nebraska, US",8034
"Keya Paha, Nebraska, US",806
"Kimball, Nebraska, US",3632
"Knox, Nebraska, US",8332
"Lancaster, Nebraska, US",319090
"Lincoln, Nebraska, US",34914
"Logan, Nebraska, US",748
"Loup, Nebraska, US",664
"McPherson, Nebraska, US",494
"Madison, Nebraska, US",35099
"Merrick, Nebraska, US",7755
"Morrill, Nebraska, US",4642
